Name,Constituency,Party
"Gardiner, Barryÿ(Labour)",Brent North,Labour
"Garnier, Markÿ(Conservative)",Wyre Forest,Conservative
"Gauke, Mr Davidÿ(Conservative)",South West Hertfordshire,Conservative
"George, Ruthÿ(Labour)",High Peak,Labour
"Gethins, Stephenÿ(Scottish National Party)",North East Fife,Scottish National Party
"Ghani, Ms Nusratÿ(Conservative)",Wealden,Conservative
"Gibb, Nickÿ(Conservative)",Bognor Regis and Littlehampton,Conservative
"Gibson, Patriciaÿ(Scottish National Party)",North Ayrshire and Arran,Scottish National Party
"Gildernew, Michelleÿ(Sinn F‚in)",Fermanagh and South Tyrone,Sinn F‚in
"Gill, Preetÿ(Labour (Co-op))","Birmingham, Edgbaston",Labour (Co-op)
"Gillan, Mrs Cherylÿ(Conservative)",Chesham and Amersham,Conservative
"Girvan, Paulÿ(Democratic Unionist Party)",South Antrim,Democratic Unionist Party
"Glen, Johnÿ(Conservative)",Salisbury,Conservative
"Glindon, Maryÿ(Labour)",North Tyneside,Labour
"Godsiff, Mr Rogerÿ(Labour)","Birmingham, Hall Green",Labour
"Goldsmith, Zacÿ(Conservative)",Richmond Park,Conservative
"Goodman, Helenÿ(Labour)",Bishop Auckland,Labour
"Goodwill, Mr Robertÿ(Conservative)",Scarborough and Whitby,Conservative
"Gove, Michaelÿ(Conservative)",Surrey Heath,Conservative
"Grady, Patrickÿ(Scottish National Party)",Glasgow North,Scottish National Party
"Graham, Lukeÿ(Conservative)",Ochil and South Perthshire,Conservative
"Graham, Richardÿ(Conservative)",Gloucester,Conservative
"Grant, Billÿ(Conservative)","Ayr, Carrick and Cumnock",Conservative
"Grant, Mrs Helenÿ(Conservative)",Maidstone and The Weald,Conservative
"Grant, Peterÿ(Scottish National Party)",Glenrothes,Scottish National Party
"Gray, Jamesÿ(Conservative)",North Wiltshire,Conservative
"Gray, Neilÿ(Scottish National Party)",Airdrie and Shotts,Scottish National Party
"Grayling, Chrisÿ(Conservative)",Epsom and Ewell,Conservative
"Green, Chrisÿ(Conservative)",Bolton West,Conservative
"Green, Damianÿ(Conservative)",Ashford,Conservative
"Green, Kateÿ(Labour)",Stretford and Urmston,Labour
"Greening, Justineÿ(Conservative)",Putney,Conservative
"Greenwood, Lilianÿ(Labour)",Nottingham South,Labour
"Greenwood, Margaretÿ(Labour)",Wirral West,Labour
"Grieve, Mr Dominicÿ(Conservative)",Beaconsfield,Conservative
"Griffith, Niaÿ(Labour)",Llanelli,Labour
"Griffiths, Andrewÿ(Conservative)",Burton,Conservative
"Grogan, Johnÿ(Labour)",Keighley,Labour
"Gwynne, Andrewÿ(Labour)",Denton and Reddish,Labour
"Gyimah, Mr Samÿ(Conservative)",East Surrey,Conservative
"Haigh, Louiseÿ(Labour)","Sheffield, Heeley",Labour
"Hair, Kirsteneÿ(Conservative)",Angus,Conservative
"Halfon, Robertÿ(Conservative)",Harlow,Conservative
"Hall, Lukeÿ(Conservative)",Thornbury and Yate,Conservative
"Hamilton, Fabianÿ(Labour)",Leeds North East,Labour
"Hammond, Mr Philipÿ(Conservative)",Runnymede and Weybridge,Conservative
"Hammond, Stephenÿ(Conservative)",Wimbledon,Conservative
"Hancock, Mattÿ(Conservative)",West Suffolk,Conservative
"Hands, Gregÿ(Conservative)",Chelsea and Fulham,Conservative
"Hanson, Davidÿ(Labour)",Delyn,Labour
