Name,Constituency,Party
"Rees-Mogg, Mr Jacob(Conservative)",North East Somerset,Conservative
"Reeves, Ellieÿ(Labour)",Lewisham West and Penge,Labour
"Reeves, Rachelÿ(Labour)",Leeds West,Labour
"Reynolds, Emmaÿ(Labour)",Wolverhampton North East,Labour
"Reynolds, Jonathanÿ(Labour (Co-op))",Stalybridge and Hyde,Labour (Co-op)
"Rimmer, Ms Marieÿ(Labour)",St Helens South and Whiston,Labour
"Robertson, Mr Laurence(Conservative)",Tewkesbury,Conservative
"Robinson, Gavinÿ(Democratic Unionist Party)",Belfast East,Democratic Unionist Party
"Robinson, Mr Geoffreyÿ(Labour)",Coventry North West,Labour
"Robinson, Maryÿ(Conservative)",Cheadle,Conservative
"Rodda, Mattÿ(Labour)",Reading East,Labour
"Rosindell, Andrewÿ(Conservative)",Romford,Conservative
"Ross, Douglasÿ(Conservative)",Moray,Conservative
"Rowley, Danielleÿ(Labour)",Midlothian,Labour
"Rowley, Leeÿ(Conservative)",North East Derbyshire,Conservative
"Ruane, Chrisÿ(Labour)",Vale of Clwyd,Labour
"Rudd, Amberÿ(Conservative)",Hastings and Rye,Conservative
"Russell-Moyle, Lloydÿ(Labour (Co-op))","Brighton, Kemptown",Labour (Co-op)
"Rutley, Davidÿ(Conservative)",Macclesfield,Conservative
"Ryan, Joanÿ(Labour)",Enfield North,Labour
"Sandbach, Antoinette(Conservative)",Eddisbury,Conservative
"Saville Roberts, Lizÿ(Plaid Cymru)",Dwyfor Meirionnydd,Plaid Cymru
"Scully, Paulÿ(Conservative)",Sutton and Cheam,Conservative
"Seely, Mr Bobÿ(Conservative)",Isle of Wight,Conservative
"Selous, Andrewÿ(Conservative)",South West Bedfordshire,Conservative
"Shah, Nazÿ(Labour)",Bradford West,Labour
"Shannon, Jimÿ(Democratic Unionist Party)",Strangford,Democratic Unionist Party
"Shapps, Grantÿ(Conservative)",Welwyn Hatfield,Conservative
"Sharma, Alokÿ(Conservative)",Reading West,Conservative
"Sharma, Mr Virendraÿ(Labour)","Ealing, Southall",Labour
"Sheerman, Mr Barryÿ(Labour (Co-op))",Huddersfield,Labour (Co-op)
"Shelbrooke, Alecÿ(Conservative)",Elmet and Rothwell,Conservative
"Sheppard, Tommyÿ(Scottish National Party)",Edinburgh East,Scottish National Party
"Sherriff, Paulaÿ(Labour)",Dewsbury,Labour
"Shuker, Mr Gavinÿ(Labour (Co-op))",Luton South,Labour (Co-op)
"Siddiq, Tulipÿ(Labour)",Hampstead and Kilburn,Labour
"Simpson, Davidÿ(Democratic Unionist Party)",Upper Bann,Democratic Unionist Party
"Simpson, Mr Keithÿ(Conservative)",Broadland,Conservative
"Skidmore, Chrisÿ(Conservative)",Kingswood,Conservative
"Skinner, Mr Dennisÿ(Labour)",Bolsover,Labour
"Slaughter, Andyÿ(Labour)",Hammersmith,Labour
"Smeeth, Ruthÿ(Labour)",Stoke-on-Trent North,Labour
"Smith, Angelaÿ(Labour)",Penistone and Stocksbridge,Labour
"Smith, Catÿ(Labour)",Lancaster and Fleetwood,Labour
"Smith, Chloeÿ(Conservative)",Norwich North,Conservative
"Smith, Eleanorÿ(Labour)",Wolverhampton South West,Labour
"Smith, Henryÿ(Conservative)",Crawley,Conservative
"Smith, Jeffÿ(Labour)","Manchester, Withington",Labour
"Smith, Julianÿ(Conservative)",Skipton and Ripon,Conservative
"Smith, Lauraÿ(Labour)",Crewe and Nantwich,Labour
"Smith, Nickÿ(Labour)",Blaenau Gwent,Labour
"Smith, Owenÿ(Labour)",Pontypridd,Labour
"Smith, Roystonÿ(Conservative)","Southampton, Itchen",Conservative
"Smyth, Karinÿ(Labour)",Bristol South,Labour
"Snell, Garethÿ(Labour (Co-op))",Stoke-on-Trent Central,Labour (Co-op)
"Soames, Sir Nicholas(Conservative)",Mid Sussex,Conservative
"Sobel, Alexÿ(Labour (Co-op))",Leeds North West,Labour (Co-op)
"Soubry, Annaÿ(Conservative)",Broxtowe,Conservative
"Spellar, Johnÿ(Labour)","Warley, previously Birmingham Northfield",Labour
"Spelman, Dame Caroline(Conservative)",Meriden,Conservative
"Spencer, Markÿ(Conservative)",Sherwood,Conservative
"Starmer, Keirÿ(Labour)",Holborn and St Pancras,Labour
"Stephens, Chrisÿ(Scottish National Party)",Glasgow South West,Scottish National Party
"Stephenson, Andrew(Conservative)",Pendle,Conservative
"Stevens, Joÿ(Labour)",Cardiff Central,Labour
"Stevenson, Johnÿ(Conservative)",Carlisle,Conservative
"Stewart, Bobÿ(Conservative)",Beckenham,Conservative
"Stewart, Iainÿ(Conservative)",Milton Keynes South,Conservative
"Stewart, Roryÿ(Conservative)",Penrith and The Border,Conservative
"Stone, Jamieÿ(Liberal Democrat)","Caithness, Sutherland and Easter Ross",Liberal Democrat
"Streeter, Mr Garyÿ(Conservative)",South West Devon,Conservative
"Streeting, Wesÿ(Labour)",Ilford North,Labour
"Stride, Melÿ(Conservative)",Central Devon,Conservative
"Stringer, Grahamÿ(Labour)",Blackley and Broughton,Labour
"Stuart, Grahamÿ(Conservative)",Beverley and Holderness,Conservative
"Sturdy, Julianÿ(Conservative)",York Outer,Conservative
"Sunak, Rishiÿ(Conservative)",Richmond (Yorks),Conservative
"Swayne, Sir Desmond(Conservative)",New Forest West,Conservative
"Sweeney, Mr Paul Jÿ(Labour (Co-op))",Glasgow North East,Labour (Co-op)
"Swinson, Joÿ(Liberal Democrat)",East Dunbartonshire,Liberal Democrat
"Swire, Sir Hugoÿ(Conservative)",East Devon,Conservative
"Syms, Mr Robertÿ(Conservative)",Poole,Conservative
"Tami, Markÿ(Labour)",Alyn and Deeside,Labour
"Thewliss, Alisonÿ(Scottish National Party)",Glasgow Central,Scottish National Party
"Thomas, Derekÿ(Conservative)",St Ives,Conservative
"Thomas, Garethÿ(Labour (Co-op))",Harrow West,Labour (Co-op)
"Thomas-Symonds, Nickÿ(Labour)",Torfaen,Labour
"Thomson, Rossÿ(Conservative)",Aberdeen South,Conservative
"Thornberry, Emilyÿ(Labour)",Islington South and Finsbury,Labour
"Throup, Maggieÿ(Conservative)",Erewash,Conservative
"Timms, Stephenÿ(Labour)",East Ham,Labour
"Tolhurst, Kellyÿ(Conservative)",Rochester and Strood,Conservative
"Tomlinson, Justinÿ(Conservative)",North Swindon,Conservative
"Tomlinson, Michaelÿ(Conservative)",Mid Dorset and North Poole,Conservative
"Tracey, Craigÿ(Conservative)",North Warwickshire,Conservative
"Tredinnick, Davidÿ(Conservative)",Bosworth,Conservative
"Trevelyan, Mrs Anne-Marie(Conservative)",Berwick-upon-Tweed,Conservative
"Trickett, Jonÿ(Labour)",Hemsworth,Labour
"Truss, Elizabethÿ(Conservative)",South West Norfolk,Conservative
"Tugendhat, Tomÿ(Conservative)",Tonbridge and Malling,Conservative
"Turley, Annaÿ(Labour (Co-op))",Redcar,Labour (Co-op)
"Turner, Karlÿ(Labour)",Kingston upon Hull East,Labour
"Twigg, Derekÿ(Labour)",Halton,Labour
"Twigg, Stephenÿ(Labour (Co-op))","Liverpool, West Derby",Labour (Co-op)
"Twist, Lizÿ(Labour)",Blaydon,Labour
"Umunna, Chukaÿ(Labour)",Streatham,Labour
"Vaizey, Mr Edwardÿ(Conservative)",Wantage,Conservative
"Vara, Mr Shaileshÿ(Conservative)",North West Cambridgeshire,Conservative
"Vaz, Keithÿ(Labour)",Leicester East,Labour
"Vaz, Valerieÿ(Labour)",Walsall South,Labour
"Vickers, Martinÿ(Conservative)",Cleethorpes,Conservative
"Villiers, Theresaÿ(Conservative)",Chipping Barnet,Conservative
"Walker, Mr Charlesÿ(Conservative)",Broxbourne,Conservative
"Walker, Mr Robinÿ(Conservative)",Worcester,Conservative
"Walker, Thelmaÿ(Labour)",Colne Valley,Labour
"Wallace, Mr Benÿ(Conservative)",Wyre and Preston North,Conservative
"Warburton, Davidÿ(Conservative)",Somerton and Frome,Conservative
"Warman, Mattÿ(Conservative)",Boston and Skegness,Conservative
"Watling, Gilesÿ(Conservative)",Clacton,Conservative
"Watson, Tomÿ(Labour)",West Bromwich East,Labour
"West, Catherineÿ(Labour)",Hornsey and Wood Green,Labour
"Western, Mattÿ(Labour)",Warwick and Leamington,Labour
"Whately, Helenÿ(Conservative)",Faversham and Mid Kent,Conservative
"Wheeler, Mrs Heather(Conservative)",South Derbyshire,Conservative
"Whitehead, Dr Alanÿ(Labour)","Southampton, Test",Labour
"Whitfield, Martinÿ(Labour)",East Lothian,Labour
"Whitford, Dr Philippaÿ(Scottish National Party)",Central Ayrshire,Scottish National Party
"Whittaker, Craigÿ(Conservative)",Calder Valley,Conservative
"Whittingdale, Mr John(Conservative)",Maldon,Conservative
"Wiggin, Billÿ(Conservative)",North Herefordshire,Conservative
"Williams, Hywelÿ(Plaid Cymru)",Arfon,Plaid Cymru
"Williams, Dr Paulÿ(Labour)",Stockton South,Labour
"Williamson, Chrisÿ(Labour)",Derby North,Labour
"Williamson, Gavinÿ(Conservative)",South Staffordshire,Conservative
"Wilson, Philÿ(Labour)",Sedgefield,Labour
"Wilson, Sammyÿ(Democratic Unionist Party)",East Antrim,Democratic Unionist Party
"Winterton, Dame Rosieÿ(Labour)",Doncaster Central,Labour
"Wishart, Peteÿ(Scottish National Party)",Perth and North Perthshire,Scottish National Party
"Wollaston, Dr Sarahÿ(Conservative)",Totnes,Conservative
"Wood, Mikeÿ(Conservative)",Dudley South,Conservative
"Woodcock, Johnÿ(Labour (Co-op))",Barrow and Furness,Labour (Co-op)
"Wragg, Mr Williamÿ(Conservative)",Hazel Grove,Conservative
"Wright, Jeremyÿ(Conservative)",Kenilworth and Southam,Conservative
"Yasin, Mohammadÿ(Labour)",Bedford,Labour
"Zahawi, Nadhimÿ(Conservative)",Stratford-on-Avon,Conservative
"Zeichner, Danielÿ(Labour)",Cambridge,Labour
