Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB2 5AH,Yes,51.50072,-0.387593,512016,179208,TQ120792,1/1/1980 12:00:00 AM,,33,9,2
UB2 5AJ,Yes,51.501794,-0.383325,512310,179334,TQ123793,1/1/1980 12:00:00 AM,,33,47,18
UB2 5AL,Yes,51.502653,-0.383713,512281,179429,TQ122794,1/1/1980 12:00:00 AM,,32,2,1
UB2 5AN,Yes,51.501573,-0.384313,512242,179308,TQ122793,1/1/1980 12:00:00 AM,,33,107,41
UB2 5AP,Yes,51.501529,-0.384992,512195,179302,TQ121793,1/1/1980 12:00:00 AM,,33,128,33
UB2 5AQ,Yes,51.50142,-0.386249,512108,179288,TQ121792,1/1/1980 12:00:00 AM,,34,133,37
UB2 5AR,Yes,51.502708,-0.386391,512095,179431,TQ120794,1/1/1980 12:00:00 AM,,33,52,15
UB2 5AS,Yes,51.502947,-0.388039,511980,179455,TQ119794,1/1/1980 12:00:00 AM,,33,190,48
UB2 5AT,Yes,51.503484,-0.389865,511852,179512,TQ118795,1/1/1980 12:00:00 AM,,34,50,15
UB2 5AU,Yes,51.503089,-0.385325,512168,179475,TQ121794,1/1/1980 12:00:00 AM,,32,119,31
UB2 5AW,Yes,51.501554,-0.385509,512159,179304,TQ121793,1/1/1980 12:00:00 AM,,33,101,29
UB2 5AX,Yes,51.503715,-0.385102,512182,179545,TQ121795,1/1/1980 12:00:00 AM,,32,80,23
UB2 5AY,Yes,51.503819,-0.388037,511978,179552,TQ119795,1/1/1980 12:00:00 AM,,40,165,48
UB2 5AZ,Yes,51.50403,-0.386352,512094,179578,TQ120795,1/1/1980 12:00:00 AM,,34,176,47
UB2 5BA,Yes,51.504267,-0.38465,512212,179607,TQ122796,1/1/1980 12:00:00 AM,,32,83,25
UB2 5BB,Yes,51.503591,-0.384544,512221,179532,TQ122795,1/1/1980 12:00:00 AM,,32,63,14
UB2 5BD,Yes,51.503055,-0.393309,511614,179459,TQ116794,7/1/1990 12:00:00 AM,,32,,
UB2 5BF,Yes,51.501066,-0.38727,512038,179247,TQ120792,2/1/2012 12:00:00 AM,,34,,
UB2 5BG,No,51.5075,-0.378483,512632,179976,TQ126799,1/1/1995 12:00:00 AM,1/1/2006 12:00:00 AM,33,,
UB2 5BH,Yes,51.503669,-0.391544,511735,179530,TQ117795,1/1/1980 12:00:00 AM,,33,95,23
UB2 5BJ,Yes,51.502626,-0.388296,511963,179419,TQ119794,1/1/1980 12:00:00 AM,,33,129,33
UB2 5BL,Yes,51.503237,-0.39019,511830,179484,TQ118794,1/1/1980 12:00:00 AM,,34,124,32
UB2 5BN,Yes,51.502423,-0.388562,511945,179396,TQ119793,1/1/1980 12:00:00 AM,,33,126,35
UB2 5BP,Yes,51.502139,-0.388803,511929,179364,TQ119793,1/1/1980 12:00:00 AM,,33,84,22
UB2 5BQ,Yes,51.502575,-0.385214,512177,179418,TQ121794,3/1/1983 12:00:00 AM,,32,,
UB2 5BS,Yes,51.502833,-0.390925,511780,179438,TQ117794,1/1/1980 12:00:00 AM,,32,122,51
UB2 5BT,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,8/1/2001 12:00:00 AM,33,,
UB2 5BU,Yes,51.501907,-0.388969,511918,179338,TQ119793,1/1/1980 12:00:00 AM,,33,65,19
UB2 5BW,Yes,51.503062,-0.390557,511805,179464,TQ118794,1/1/1980 12:00:00 AM,,33,149,36
UB2 5BX,Yes,51.502425,-0.390666,511799,179393,TQ117793,1/1/1980 12:00:00 AM,,32,72,18
UB2 5BY,Yes,51.502532,-0.393183,511624,179401,TQ116794,1/1/1980 12:00:00 AM,,33,113,33
UB2 5BZ,Yes,51.502231,-0.395557,511460,179364,TQ114793,1/1/1980 12:00:00 AM,,33,81,31
UB2 5DA,No,51.50283,-0.395954,511431,179430,TQ114794,1/1/1980 12:00:00 AM,3/1/2004 12:00:00 AM,33,,
UB2 5DB,Yes,51.50182,-0.389794,511861,179327,TQ118793,1/1/1980 12:00:00 AM,,32,81,21
UB2 5DD,Yes,51.50156,-0.389904,511854,179298,TQ118792,1/1/1980 12:00:00 AM,,32,98,24
UB2 5DE,Yes,51.502332,-0.392412,511678,179380,TQ116793,1/1/1980 12:00:00 AM,,32,145,34
UB2 5DF,Yes,51.502013,-0.392726,511657,179344,TQ116793,1/1/1980 12:00:00 AM,,32,126,29
UB2 5DG,Yes,51.502012,-0.395291,511479,179340,TQ114793,1/1/1980 12:00:00 AM,,33,116,38
UB2 5DH,No,51.501805,-0.397286,511341,179314,TQ113793,1/1/1980 12:00:00 AM,6/1/2004 12:00:00 AM,33,,
UB2 5DJ,No,51.501574,-0.396142,511421,179290,TQ114792,1/1/1980 12:00:00 AM,4/1/2001 12:00:00 AM,32,,
UB2 5DL,Yes,51.50161,-0.396155,511420,179294,TQ114792,4/1/2003 12:00:00 AM,,32,37,12
UB2 5DN,Yes,51.501684,-0.395619,511457,179303,TQ114793,2/1/2003 12:00:00 AM,,33,38,12
UB2 5DP,Yes,51.503226,-0.384133,512250,179492,TQ122794,7/1/1983 12:00:00 AM,,32,5,2
UB2 5DQ,Yes,51.501463,-0.397875,511301,179275,TQ113792,1/1/1980 12:00:00 AM,,33,128,33
UB2 5DR,No,51.5075,-0.378483,512632,179976,TQ126799,7/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5DS,Yes,51.500957,-0.384594,512224,179239,TQ122792,1/1/1980 12:00:00 AM,,33,4,1
UB2 5DT,Yes,51.501928,-0.396403,511402,179329,TQ114793,6/1/2005 12:00:00 AM,,32,12,8
UB2 5DU,Yes,51.500848,-0.385203,512182,179226,TQ121792,1/1/1980 12:00:00 AM,,33,,
UB2 5DW,Yes,51.501388,-0.396321,511409,179269,TQ114792,3/1/2003 12:00:00 AM,,32,20,4
UB2 5DX,Yes,51.500634,-0.386623,512084,179200,TQ120791,1/1/1980 12:00:00 AM,,33,68,21
UB2 5DY,Yes,51.501295,-0.386945,512060,179273,TQ120792,8/1/2012 12:00:00 AM,,34,,
UB2 5DZ,Yes,51.500574,-0.388137,511979,179191,TQ119791,1/1/1980 12:00:00 AM,,33,43,12
UB2 5EA,Yes,51.500126,-0.390242,511834,179138,TQ118791,1/1/1980 12:00:00 AM,,32,63,13
UB2 5EB,Yes,51.500133,-0.390746,511799,179138,TQ117791,1/1/1980 12:00:00 AM,,32,,
UB2 5ED,Yes,51.499324,-0.391394,511756,179047,TQ117790,1/1/1980 12:00:00 AM,,32,42,14
UB2 5EF,Yes,51.50161,-0.387654,512010,179307,TQ120793,1/1/1980 12:00:00 AM,,33,131,36
UB2 5EG,Yes,51.501804,-0.387964,511988,179328,TQ119793,1/1/1980 12:00:00 AM,,33,40,15
UB2 5EH,Yes,51.499235,-0.392132,511705,179036,TQ117790,6/1/2000 12:00:00 AM,,32,14,4
UB2 5EJ,Yes,51.499372,-0.392257,511696,179051,TQ116790,1/1/1980 12:00:00 AM,,31,30,10
UB2 5EL,Yes,51.500229,-0.393149,511632,179145,TQ116791,1/1/1980 12:00:00 AM,,32,136,31
UB2 5EN,Yes,51.500321,-0.395249,511486,179152,TQ114791,1/1/1980 12:00:00 AM,,32,245,62
UB2 5EP,Yes,51.499411,-0.397125,511358,179048,TQ113790,1/1/1980 12:00:00 AM,,32,166,42
UB2 5EQ,Yes,51.500933,-0.388715,511938,179230,TQ119792,1/1/1980 12:00:00 AM,,33,53,17
UB2 5ER,Yes,51.499565,-0.395218,511490,179068,TQ114790,1/1/1980 12:00:00 AM,,31,187,45
UB2 5ES,Yes,51.499731,-0.393527,511607,179089,TQ116790,1/1/1980 12:00:00 AM,,31,107,28
UB2 5ET,Yes,51.499971,-0.392034,511710,179118,TQ117791,1/1/1980 12:00:00 AM,,31,94,26
UB2 5EU,No,51.500883,-0.389034,511916,179224,TQ119792,4/1/1986 12:00:00 AM,3/1/2017 12:00:00 AM,33,,
UB2 5EW,Yes,51.500084,-0.397649,511320,179122,TQ113791,1/1/1980 12:00:00 AM,,31,193,47
UB2 5EX,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5EY,Yes,51.498754,-0.383887,512278,178995,TQ122789,3/1/2016 12:00:00 AM,,32,,
UB2 5EZ,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/2001 12:00:00 AM,9/1/2003 12:00:00 AM,33,,
UB2 5FB,Yes,51.50259,-0.398002,511289,179400,TQ112794,9/1/2008 12:00:00 AM,,33,4,1
UB2 5FD,Yes,51.502726,-0.395504,511462,179419,TQ114794,5/1/2007 12:00:00 AM,,33,,
UB2 5FE,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5FF,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FG,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FH,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/2000 12:00:00 AM,5/1/2001 12:00:00 AM,33,,
UB2 5FJ,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5FL,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/1999 12:00:00 AM,3/1/2003 12:00:00 AM,33,,
UB2 5FN,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/1999 12:00:00 AM,6/1/2008 12:00:00 AM,33,,
UB2 5FP,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/1999 12:00:00 AM,3/1/2002 12:00:00 AM,33,,
UB2 5FQ,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FR,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/1999 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5FS,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,33,,
UB2 5FT,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1999 12:00:00 AM,11/1/2000 12:00:00 AM,33,,
UB2 5FU,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FW,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1999 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FX,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,33,,
UB2 5FY,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1999 12:00:00 AM,7/1/2001 12:00:00 AM,33,,
UB2 5FZ,No,51.5075,-0.378483,512632,179976,TQ126799,1/1/2008 12:00:00 AM,2/1/2011 12:00:00 AM,33,,
UB2 5GA,No,51.49991,-0.399384,511200,179100,TQ112790,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,32,,
UB2 5GB,No,51.49991,-0.399384,511200,179100,TQ112790,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,32,,
UB2 5GD,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1998 12:00:00 AM,12/1/1998 12:00:00 AM,33,,
UB2 5GE,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,10/1/2003 12:00:00 AM,33,,
UB2 5GF,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,33,,
UB2 5GG,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1997 12:00:00 AM,11/1/2000 12:00:00 AM,33,,
UB2 5GH,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,33,,
UB2 5GJ,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,33,,
UB2 5GL,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,33,,
UB2 5GN,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/1997 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB2 5GP,Yes,51.501717,-0.386887,512063,179320,TQ120793,5/1/2012 12:00:00 AM,,34,,
UB2 5GQ,Yes,51.501717,-0.386866,512064,179320,TQ120793,4/1/2013 12:00:00 AM,,34,,
UB2 5GR,Yes,51.502429,-0.386343,512099,179400,TQ120793,4/1/2013 12:00:00 AM,,33,,
UB2 5GS,No,51.497901,-0.387353,512040,178895,TQ120788,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,33,,
UB2 5GT,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,33,,
UB2 5GU,No,51.49991,-0.399384,511200,179100,TQ112790,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,32,,
UB2 5GW,No,51.497901,-0.387353,512040,178895,TQ120788,6/1/1997 12:00:00 AM,12/1/1999 12:00:00 AM,33,,
UB2 5GX,No,51.49991,-0.399384,511200,179100,TQ112790,12/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,32,,
UB2 5GY,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/1998 12:00:00 AM,10/1/2001 12:00:00 AM,33,,
UB2 5GZ,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/1998 12:00:00 AM,9/1/2002 12:00:00 AM,33,,
UB2 5HA,Yes,51.500725,-0.384112,512258,179214,TQ122792,1/1/1980 12:00:00 AM,,33,94,25
UB2 5HD,Yes,51.500537,-0.384811,512210,179192,TQ122791,1/1/1980 12:00:00 AM,,33,34,10
UB2 5HE,Yes,51.500363,-0.386546,512090,179170,TQ120791,1/1/1980 12:00:00 AM,,33,73,29
UB2 5HF,Yes,51.499625,-0.386514,512094,179088,TQ120790,1/1/1980 12:00:00 AM,,32,,
UB2 5HH,Yes,51.500373,-0.388534,511952,179168,TQ119791,1/1/1980 12:00:00 AM,,33,23,11
UB2 5HJ,No,51.499816,-0.389274,511902,179105,TQ119791,1/1/1980 12:00:00 AM,12/1/2001 12:00:00 AM,33,,
UB2 5HL,Yes,51.499684,-0.390114,511844,179089,TQ118790,1/1/1980 12:00:00 AM,,32,,
UB2 5HN,Yes,51.500081,-0.389552,511882,179134,TQ118791,1/1/1980 12:00:00 AM,,33,109,37
UB2 5HP,Yes,51.499016,-0.391261,511766,179013,TQ117790,1/1/1980 12:00:00 AM,,32,38,10
UB2 5HQ,Yes,51.500256,-0.387889,511997,179156,TQ119791,1/1/1980 12:00:00 AM,,33,8,4
UB2 5HR,Yes,51.498474,-0.392346,511692,178951,TQ116789,1/1/1980 12:00:00 AM,,32,69,19
UB2 5HS,Yes,51.497639,-0.395099,511503,178854,TQ115788,1/1/1980 12:00:00 AM,,32,98,26
UB2 5HT,Yes,51.500093,-0.385186,512185,179142,TQ121791,1/1/1980 12:00:00 AM,,34,88,22
UB2 5HU,Yes,51.499712,-0.38824,511974,179095,TQ119790,1/1/1980 12:00:00 AM,,33,173,49
UB2 5HW,Yes,51.499375,-0.390571,511813,179054,TQ118790,1/1/1980 12:00:00 AM,,32,45,12
UB2 5HX,Yes,51.498721,-0.388721,511943,178984,TQ119789,1/1/1980 12:00:00 AM,,32,181,44
UB2 5HY,Yes,51.499273,-0.389653,511877,179044,TQ118790,1/1/1980 12:00:00 AM,,32,101,26
UB2 5HZ,Yes,51.498751,-0.390262,511836,178985,TQ118789,1/1/1980 12:00:00 AM,,32,156,42
UB2 5JA,Yes,51.498518,-0.391019,511784,178958,TQ117789,1/1/1980 12:00:00 AM,,32,137,31
UB2 5JB,Yes,51.503018,-0.387331,512029,179464,TQ120794,5/1/2004 12:00:00 AM,,33,47,18
UB2 5JD,Yes,51.496748,-0.391773,511736,178760,TQ117787,1/1/1980 12:00:00 AM,,33,86,22
UB2 5JE,Yes,51.497685,-0.391884,511726,178864,TQ117788,1/1/1980 12:00:00 AM,,32,145,36
UB2 5JF,Yes,51.496963,-0.394978,511513,178779,TQ115787,1/1/1980 12:00:00 AM,,31,146,35
UB2 5JG,Yes,51.496322,-0.392825,511664,178711,TQ116787,1/1/1980 12:00:00 AM,,32,10,3
UB2 5JH,Yes,51.496194,-0.39198,511723,178698,TQ117786,1/1/1980 12:00:00 AM,,33,17,5
UB2 5JJ,Yes,51.497068,-0.393369,511624,178793,TQ116787,1/1/1980 12:00:00 AM,,31,122,31
UB2 5JL,Yes,51.500488,-0.38451,512231,179187,TQ122791,2/1/2016 12:00:00 AM,,32,,
UB2 5JN,Yes,51.498837,-0.393256,511628,178990,TQ116789,12/1/2000 12:00:00 AM,,31,87,27
UB2 5JP,No,51.498727,-0.393778,511592,178977,TQ115789,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,32,,
UB2 5JQ,Yes,51.496282,-0.392524,511685,178707,TQ116787,1/1/1980 12:00:00 AM,,32,13,7
UB2 5JR,No,51.498033,-0.393687,511600,178900,TQ116788,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,32,,
UB2 5JS,Yes,51.500609,-0.390672,511803,179191,TQ118791,12/1/1997 12:00:00 AM,,32,303,87
UB2 5JT,Yes,51.498139,-0.394145,511568,178911,TQ115789,1/1/1980 12:00:00 AM,,33,58,17
UB2 5JU,Yes,51.497776,-0.397212,511356,178866,TQ113788,1/1/1980 12:00:00 AM,,33,27,8
