Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA1 4QY,Yes,51.585577,-0.349261,514464,188704,TQ144887,1/1/1980 12:00:00 AM,,58
HA1 4QZ,Yes,51.585694,-0.347987,514552,188719,TQ145887,1/1/1980 12:00:00 AM,,61
HA1 4RA,Yes,51.585898,-0.349077,514476,188740,TQ144887,1/1/1980 12:00:00 AM,,60
HA1 4RB,No,51.585534,-0.348743,514500,188700,TQ145887,5/1/1994 12:00:00 AM,12/1/1997 12:00:00 AM,59
HA1 4RD,Yes,51.588784,-0.349679,514427,189060,TQ144890,6/1/2000 12:00:00 AM,,60
HA1 4RE,No,51.585534,-0.348743,514500,188700,TQ145887,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,59
HA1 4RF,No,51.586453,-0.350154,514400,188800,TQ144888,8/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,59
HA1 4RG,No,51.586473,-0.351596,514300,188800,TQ143888,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,56
HA1 4RH,Yes,51.587543,-0.350273,514389,188921,TQ143889,1/1/1980 12:00:00 AM,,60
HA1 4RJ,Yes,51.588208,-0.350249,514389,188995,TQ143889,1/1/1980 12:00:00 AM,,60
HA1 4RL,Yes,51.588765,-0.350229,514389,189057,TQ143890,1/1/1980 12:00:00 AM,,59
HA1 4RN,Yes,51.589957,-0.350618,514359,189189,TQ143891,1/1/1980 12:00:00 AM,,56
HA1 4RP,Yes,51.592713,-0.351558,514287,189494,TQ142894,1/1/1980 12:00:00 AM,,55
HA1 4RQ,No,51.586473,-0.351596,514300,188800,TQ143888,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,56
HA1 4RR,Yes,51.591379,-0.350682,514351,189347,TQ143893,1/1/1980 12:00:00 AM,,54
HA1 4RS,Yes,51.591943,-0.347284,514585,189415,TQ145894,1/1/1980 12:00:00 AM,,54
HA1 4RT,Yes,51.591606,-0.348956,514470,189375,TQ144893,1/1/1980 12:00:00 AM,,54
HA1 4RU,Yes,51.590628,-0.350334,514377,189264,TQ143892,1/1/1980 12:00:00 AM,,55
HA1 4RW,Yes,51.591369,-0.35126,514311,189345,TQ143893,1/1/1980 12:00:00 AM,,53
HA1 4RX,Yes,51.591028,-0.348111,514530,189312,TQ145893,1/1/1980 12:00:00 AM,,55
HA1 4RY,Yes,51.590721,-0.348007,514538,189278,TQ145892,1/1/1980 12:00:00 AM,,56
HA1 4RZ,Yes,51.589687,-0.349935,514407,189160,TQ144891,1/1/1980 12:00:00 AM,,57
HA1 4SA,Yes,51.590132,-0.347696,514561,189213,TQ145892,1/1/1980 12:00:00 AM,,57
HA1 4SB,Yes,51.58993,-0.3474,514582,189191,TQ145891,1/1/1980 12:00:00 AM,,57
HA1 4SD,Yes,51.588956,-0.349731,514423,189079,TQ144890,1/1/1980 12:00:00 AM,,59
