Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE13 6ZD,No,51.45277,-0.008339,538484,174524,TQ384745,12/1/1995 12:00:00 AM,10/1/2000 12:00:00 AM,30
SE13 6ZE,No,51.447036,-0.001162,539000,173900,TQ390739,12/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,28
SE13 6ZF,No,51.45924,-0.013354,538116,175234,TQ381752,12/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,12
SE13 6ZG,No,51.45924,-0.013354,538116,175234,TQ381752,12/1/1995 12:00:00 AM,1/1/2002 12:00:00 AM,12
SE13 6ZH,No,51.453085,-0.008382,538480,174559,TQ384745,12/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,30
SE13 6ZJ,No,51.453085,-0.008382,538480,174559,TQ384745,6/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,30
SE13 6ZL,No,51.45924,-0.013354,538116,175234,TQ381752,6/1/1996 12:00:00 AM,9/1/2001 12:00:00 AM,12
SE13 6ZN,No,51.45924,-0.013354,538116,175234,TQ381752,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,12
SE13 6ZP,No,51.453085,-0.008382,538480,174559,TQ384745,6/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,30
SE13 6ZQ,No,51.45277,-0.008339,538484,174524,TQ384745,12/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,30
SE13 6ZR,No,51.45277,-0.008339,538484,174524,TQ384745,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,30
SE13 6ZS,No,51.45277,-0.008339,538484,174524,TQ384745,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,30
SE13 6ZT,No,51.45924,-0.013354,538116,175234,TQ381752,6/1/1998 12:00:00 AM,6/1/2008 12:00:00 AM,12
SE13 6ZU,No,51.45924,-0.013354,538116,175234,TQ381752,6/1/1998 12:00:00 AM,6/1/2008 12:00:00 AM,12
SE13 6ZW,No,51.45924,-0.013354,538116,175234,TQ381752,6/1/1998 12:00:00 AM,1/1/2014 12:00:00 AM,12
