Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE26 6ZT,No,51.428409,-0.065243,534602,171709,TQ346717,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,71
SE26 6ZU,No,51.426871,-0.053311,535436,171560,TQ354715,2/1/2010 12:00:00 AM,2/1/2012 12:00:00 AM,51
SE26 6ZW,No,51.428409,-0.065243,534602,171709,TQ346717,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,71
SE26 6ZX,No,51.426871,-0.053311,535436,171560,TQ354715,12/1/1997 12:00:00 AM,2/1/2006 12:00:00 AM,51
SE26 9AA,Yes,51.437114,-0.053321,535405,172699,TQ354726,7/1/2008 12:00:00 AM,,51
SE26 9AU,Yes,51.437114,-0.053321,535405,172699,TQ354726,9/1/2010 12:00:00 AM,,51
SE26 9AX,No,51.436445,-0.053119,535421,172625,TQ354726,12/1/2010 12:00:00 AM,1/1/2015 12:00:00 AM,51
SE26 9BL,Yes,51.437114,-0.053321,535405,172699,TQ354726,10/1/2011 12:00:00 AM,,52
SE26 9BP,Yes,51.437114,-0.053321,535405,172699,TQ354726,10/1/2014 12:00:00 AM,,51
SE26 9BQ,No,51.436445,-0.053119,535421,172625,TQ354726,11/1/2012 12:00:00 AM,6/1/2014 12:00:00 AM,51
SE26 9BR,Yes,51.437114,-0.053321,535405,172699,TQ354726,2/1/2013 12:00:00 AM,,52
SE26 9BS,No,51.436445,-0.053119,535421,172625,TQ354726,10/1/2013 12:00:00 AM,11/1/2014 12:00:00 AM,51
SE26 9BT,No,51.436445,-0.053119,535421,172625,TQ354726,3/1/2014 12:00:00 AM,10/1/2014 12:00:00 AM,51
SE26 9BU,No,51.437114,-0.053321,535405,172699,TQ354726,6/1/2014 12:00:00 AM,7/1/2016 12:00:00 AM,52
SE26 9BW,Yes,51.437114,-0.053321,535405,172699,TQ354726,2/1/2016 12:00:00 AM,,52
SE26 9BX,Yes,51.437114,-0.053321,535405,172699,TQ354726,2/1/2016 12:00:00 AM,,52
SE26 9BY,No,51.437114,-0.053321,535405,172699,TQ354726,3/1/2016 12:00:00 AM,5/1/2017 12:00:00 AM,52
SE26 9BZ,Yes,51.437114,-0.053321,535405,172699,TQ354726,8/1/2016 12:00:00 AM,,50
SE26 9DA,No,51.437114,-0.053321,535405,172699,TQ354726,11/1/2016 12:00:00 AM,5/1/2017 12:00:00 AM,50
SE26 9DB,No,51.437114,-0.053321,535405,172699,TQ354726,10/1/2016 12:00:00 AM,5/1/2017 12:00:00 AM,50
SE26 9DD,Yes,51.437114,-0.053321,535405,172699,TQ354726,12/1/2016 12:00:00 AM,,50
SE26 9DE,Yes,51.437114,-0.053321,535405,172699,TQ354726,1/1/2017 12:00:00 AM,,50
SE6 2ST,No,51.431154,-0.019119,537800,172100,TQ378721,1/1/1983 12:00:00 AM,12/1/1983 12:00:00 AM,22
SE6 3AP,Yes,51.427136,-0.027233,537248,171638,TQ372716,3/1/2013 12:00:00 AM,,37
SE6 3AR,No,51.43002,-0.022276,537584,171968,TQ375719,1/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,25
SE6 3BT,Yes,51.432711,-0.02026,537716,172271,TQ377722,1/1/1980 12:00:00 AM,,23
SE6 3BU,Yes,51.432745,-0.020129,537725,172275,TQ377722,1/1/1980 12:00:00 AM,,23
SE6 3DB,No,51.43002,-0.022276,537584,171968,TQ375719,1/1/1993 12:00:00 AM,7/1/2000 12:00:00 AM,25
SE6 3DP,Yes,51.427141,-0.023766,537489,171645,TQ374716,1/1/1980 12:00:00 AM,,35
SE6 3DR,No,51.427126,-0.027162,537253,171637,TQ372716,1/1/1980 12:00:00 AM,12/1/2011 12:00:00 AM,37
SE6 3DS,Yes,51.427616,-0.030104,537047,171686,TQ370716,1/1/1980 12:00:00 AM,,28
SE6 3DT,Yes,51.427616,-0.030104,537047,171686,TQ370716,10/1/2016 12:00:00 AM,,28
SE6 3DU,No,51.426807,-0.027938,537200,171600,TQ372716,1/1/1993 12:00:00 AM,5/1/1994 12:00:00 AM,35
SE6 3DW,Yes,51.426221,-0.01985,537764,171550,TQ377715,1/1/1980 12:00:00 AM,,30
SE6 3DZ,No,51.426807,-0.027938,537200,171600,TQ372716,5/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,35
SE6 3EA,Yes,51.429696,-0.019038,537810,171938,TQ378719,1/1/1980 12:00:00 AM,,24
SE6 3EB,Yes,51.428415,-0.019324,537794,171795,TQ377717,1/1/1980 12:00:00 AM,,26
SE6 3ED,Yes,51.428208,-0.018786,537832,171773,TQ378717,1/1/1980 12:00:00 AM,,26
SE6 3EE,Yes,51.427295,-0.020077,537745,171669,TQ377716,1/1/1980 12:00:00 AM,,28
SE6 3EF,Yes,51.426759,-0.020345,537728,171609,TQ377716,1/1/1980 12:00:00 AM,,30
SE6 3EG,Yes,51.428165,-0.021593,537637,171763,TQ376717,1/1/1980 12:00:00 AM,,28
SE6 3EH,Yes,51.427128,-0.021408,537653,171648,TQ376716,1/1/1980 12:00:00 AM,,30
SE6 3EJ,Yes,51.427292,-0.023113,537534,171663,TQ375716,1/1/1980 12:00:00 AM,,33
SE6 3EL,Yes,51.427922,-0.022107,537602,171735,TQ376717,1/1/1980 12:00:00 AM,,29
SE6 3EN,Yes,51.428628,-0.023947,537472,171810,TQ374718,1/1/1980 12:00:00 AM,,31
SE6 3EP,Yes,51.427662,-0.027988,537194,171695,TQ371716,1/1/1980 12:00:00 AM,,35
SE6 3EQ,Yes,51.42821,-0.021016,537677,171769,TQ376717,1/1/1980 12:00:00 AM,,27
SE6 3ER,Yes,51.428035,-0.023972,537472,171744,TQ374717,1/1/1980 12:00:00 AM,,33
SE6 3ES,Yes,51.428878,-0.022239,537590,171841,TQ375718,1/1/1980 12:00:00 AM,,27
SE6 3ET,Yes,51.429553,-0.01962,537770,171921,TQ377719,1/1/1980 12:00:00 AM,,24
SE6 3EU,Yes,51.428322,-0.025557,537361,171773,TQ373717,1/1/1980 12:00:00 AM,,35
SE6 3EW,Yes,51.428664,-0.026103,537322,171810,TQ373718,1/1/1980 12:00:00 AM,,35
SE6 3HA,Yes,51.431097,-0.022661,537554,172087,TQ375720,9/1/2003 12:00:00 AM,,24
SE6 3HB,Yes,51.431788,-0.02312,537520,172163,TQ375721,1/1/1980 12:00:00 AM,,24
SE6 3HD,Yes,51.431796,-0.024645,537414,172161,TQ374721,1/1/1980 12:00:00 AM,,25
SE6 3HE,Yes,51.432307,-0.024565,537418,172218,TQ374722,1/1/1980 12:00:00 AM,,24
SE6 3HF,Yes,51.433284,-0.023818,537467,172328,TQ374723,1/1/1980 12:00:00 AM,,22
SE6 3HG,Yes,51.432169,-0.025981,537320,172200,TQ373722,1/1/1980 12:00:00 AM,,23
SE6 3HH,No,51.430353,-0.024908,537400,172000,TQ374720,1/1/1983 12:00:00 AM,12/1/1983 12:00:00 AM,26
SE6 3HP,Yes,51.429957,-0.024379,537438,171957,TQ374719,1/1/1980 12:00:00 AM,,27
SE6 3HQ,Yes,51.431071,-0.025927,537327,172078,TQ373720,1/1/1980 12:00:00 AM,,24
