Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
BR1 5NG,Yes,51.429111,0.006888,539614,171922,TQ396719,1/1/1980 12:00:00 AM,,63
BR1 5NH,Yes,51.430166,0.007265,539637,172040,TQ396720,1/1/1980 12:00:00 AM,,61
BR1 5NJ,Yes,51.429828,0.00702,539621,172002,TQ396720,1/1/1980 12:00:00 AM,,62
BR1 5NL,Yes,51.430227,0.009958,539824,172052,TQ398720,1/1/1980 12:00:00 AM,,59
BR1 5NN,Yes,51.431075,0.009809,539811,172146,TQ398721,1/1/1980 12:00:00 AM,,56
BR1 5NP,Yes,51.430306,0.007502,539653,172056,TQ396720,1/1/1980 12:00:00 AM,,60
BR1 5NQ,Yes,51.429002,0.006409,539581,171909,TQ395719,1/1/1980 12:00:00 AM,,62
BR1 5NR,Yes,51.425001,0.013224,540067,171477,TQ400714,1/1/1980 12:00:00 AM,,58
BR1 5NS,Yes,51.42432,0.008333,539729,171392,TQ397713,1/1/1980 12:00:00 AM,,50
BR1 5NT,Yes,51.42572,0.004812,539480,171541,TQ394715,1/1/1980 12:00:00 AM,,44
BR1 5NU,Yes,51.425505,0.001092,539222,171510,TQ392715,1/1/1980 12:00:00 AM,,35
BR1 5NW,Yes,51.43041,0.007175,539630,172067,TQ396720,1/1/1980 12:00:00 AM,,60
BR1 5NX,Yes,51.424514,-0.002462,538978,171393,TQ389713,1/1/1980 12:00:00 AM,,31
BR1 5NY,Yes,51.425064,-0.002581,538968,171454,TQ389714,1/1/1980 12:00:00 AM,,32
BR1 5NZ,Yes,51.425825,0.000803,539201,171545,TQ392715,1/1/1980 12:00:00 AM,,36
BR1 5PA,No,51.424678,-0.003677,538893,171409,TQ388714,1/1/1980 12:00:00 AM,2/1/2004 12:00:00 AM,30
BR1 5PB,Yes,51.428925,0.008276,539711,171904,TQ397719,1/1/1995 12:00:00 AM,,64
BR1 5PD,Yes,51.429056,0.001664,539251,171906,TQ392719,1/1/1980 12:00:00 AM,,49
BR1 5PE,Yes,51.42737,0.00195,539276,171719,TQ392717,1/1/1980 12:00:00 AM,,43
BR1 5PF,Yes,51.429318,0.003215,539358,171938,TQ393719,1/1/1980 12:00:00 AM,,54
BR1 5PG,Yes,51.428923,0.000522,539172,171889,TQ391718,1/1/1980 12:00:00 AM,,48
BR1 5PH,No,51.432683,-0.003227,538900,172300,TQ389723,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,51
BR1 5PJ,Yes,51.42816,0.002531,539314,171808,TQ393718,1/1/1980 12:00:00 AM,,47
BR1 5PL,Yes,51.429403,-0.000191,539121,171941,TQ391719,6/1/1999 12:00:00 AM,,51
BR1 5PN,Yes,51.427708,0.001102,539216,171755,TQ392717,1/1/1980 12:00:00 AM,,43
BR1 5PP,Yes,51.426947,0.003039,539353,171674,TQ393716,1/1/1980 12:00:00 AM,,43
BR1 5PQ,Yes,51.428332,0.003013,539347,171828,TQ393718,1/1/1980 12:00:00 AM,,50
BR1 5PR,Yes,51.426598,0.003455,539383,171636,TQ393716,1/1/1980 12:00:00 AM,,43
BR1 5PS,Yes,51.427111,0.003952,539416,171694,TQ394716,1/1/1980 12:00:00 AM,,45
BR1 5PT,Yes,51.426979,0.004839,539478,171681,TQ394716,1/1/1980 12:00:00 AM,,46
BR1 5PU,Yes,51.426694,-0.005359,538770,171630,TQ387716,1/1/1980 12:00:00 AM,,35
BR1 5PW,Yes,51.42741,0.001189,539223,171722,TQ392717,1/1/1980 12:00:00 AM,,42
BR1 5PX,Yes,51.426221,-0.005566,538757,171577,TQ387715,1/1/1980 12:00:00 AM,,32
BR1 5PY,Yes,51.426333,-0.003691,538887,171593,TQ388715,1/1/1980 12:00:00 AM,,35
BR1 5PZ,Yes,51.427684,-0.001705,539021,171747,TQ390717,1/1/1980 12:00:00 AM,,41
BR1 5QA,Yes,51.42718,-0.002187,538989,171690,TQ389716,1/1/1980 12:00:00 AM,,40
BR1 5QB,Yes,51.42857,-0.0025,538963,171844,TQ389718,1/1/1980 12:00:00 AM,,48
BR1 5QD,Yes,51.428239,-0.003133,538920,171806,TQ389718,1/1/1980 12:00:00 AM,,46
BR1 5QE,Yes,51.429787,-0.002145,538984,171980,TQ389719,1/1/1980 12:00:00 AM,,52
BR1 5QF,Yes,51.428466,-0.000606,539095,171836,TQ390718,1/1/1980 12:00:00 AM,,46
BR1 5QG,Yes,51.42596,0.000277,539164,171559,TQ391715,1/1/1980 12:00:00 AM,,36
BR1 5QH,Yes,51.427567,-0.00066,539094,171736,TQ390717,1/1/1980 12:00:00 AM,,41
BR1 5QJ,Yes,51.427084,0.000815,539198,171685,TQ391716,1/1/1980 12:00:00 AM,,41
BR1 5QL,Yes,51.428206,0.000375,539164,171809,TQ391718,12/1/1997 12:00:00 AM,,44
BR1 5QN,Yes,51.425393,-0.002855,538948,171490,TQ389714,1/1/1980 12:00:00 AM,,33
BR1 5QP,Yes,51.424463,-0.008462,538561,171376,TQ385713,1/1/1980 12:00:00 AM,,27
BR1 5QQ,Yes,51.42636,0.000525,539180,171604,TQ391716,1/1/1980 12:00:00 AM,,38
BR1 5QR,Yes,51.424848,-0.008345,538568,171419,TQ385714,1/1/1980 12:00:00 AM,,28
BR1 5QS,Yes,51.424127,-0.007757,538611,171340,TQ386713,1/1/1980 12:00:00 AM,,28
BR1 5QT,Yes,51.425356,-0.007603,538618,171477,TQ386714,1/1/1980 12:00:00 AM,,28
BR1 5QU,Yes,51.425613,-0.009476,538487,171502,TQ384715,1/1/1980 12:00:00 AM,,27
BR1 5QW,Yes,51.42581,-0.003067,538932,171536,TQ389715,1/1/1980 12:00:00 AM,,34
BR1 5QY,No,51.425641,-0.012165,538300,171500,TQ383715,9/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,26
BR1 5QZ,No,51.425641,-0.012165,538300,171500,TQ383715,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,26
BR1 5RA,Yes,51.428382,-0.007328,538628,171814,TQ386718,1/1/1980 12:00:00 AM,,38
BR1 5RB,Yes,51.428224,-0.0065,538686,171798,TQ386717,1/1/1980 12:00:00 AM,,41
BR1 5RD,Yes,51.428099,-0.004952,538794,171787,TQ387717,1/1/1980 12:00:00 AM,,45
BR1 5RE,Yes,51.428982,-0.005057,538784,171885,TQ387718,1/1/1980 12:00:00 AM,,47
BR1 5RF,Yes,51.428785,-0.004059,538854,171865,TQ388718,1/1/1980 12:00:00 AM,,48
BR1 5RG,Yes,51.429345,-0.003646,538881,171928,TQ388719,1/1/1980 12:00:00 AM,,49
BR1 5RH,Yes,51.427949,-0.002973,538932,171774,TQ389717,1/1/1980 12:00:00 AM,,45
BR1 5RJ,Yes,51.427134,-0.004778,538809,171680,TQ388716,1/1/1980 12:00:00 AM,,39
BR1 5RL,Yes,51.428462,-0.009871,538451,171818,TQ384718,1/1/1980 12:00:00 AM,,29
BR1 5RN,Yes,51.427547,-0.005782,538738,171724,TQ387717,1/1/1980 12:00:00 AM,,39
BR1 5RP,Yes,51.428822,-0.007798,538594,171862,TQ385718,1/1/1980 12:00:00 AM,,37
BR1 5RQ,Yes,51.430136,-0.003108,538916,172017,TQ389720,1/1/1980 12:00:00 AM,,51
BR1 5RR,Yes,51.429481,-0.005309,538765,171940,TQ387719,1/1/1980 12:00:00 AM,,46
BR1 5RS,Yes,51.429825,-0.005438,538755,171978,TQ387719,1/1/1980 12:00:00 AM,,46
BR1 5RT,Yes,51.42908,-0.008189,538566,171890,TQ385718,1/1/1980 12:00:00 AM,,35
BR1 5RU,Yes,51.42845,-0.012345,538279,171812,TQ382718,1/1/1980 12:00:00 AM,,27
BR1 5RW,Yes,51.427285,-0.007836,538596,171691,TQ385716,1/1/1980 12:00:00 AM,,31
BR1 5RX,No,51.428043,0.005202,539500,171800,TQ395718,12/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,55
BR1 5SA,Yes,51.429398,-0.009959,538442,171922,TQ384719,1/1/1980 12:00:00 AM,,30
BR1 5SB,Yes,51.429844,-0.007624,538603,171976,TQ386719,1/1/1980 12:00:00 AM,,39
BR1 5SD,Yes,51.430409,-0.004851,538794,172044,TQ387720,1/1/1980 12:00:00 AM,,49
BR1 5SE,Yes,51.432774,0.006718,539591,172329,TQ395723,1/1/1980 12:00:00 AM,,48
BR1 5SF,Yes,51.43329,0.00651,539575,172386,TQ395723,1/1/1980 12:00:00 AM,,47
BR1 5SG,Yes,51.432391,0.002831,539322,172279,TQ393722,1/1/1980 12:00:00 AM,,50
BR1 5SH,Yes,51.432474,0.00741,539640,172297,TQ396722,1/1/1980 12:00:00 AM,,49
BR1 5SJ,Yes,51.429769,-0.010605,538396,171962,TQ383719,1/1/1980 12:00:00 AM,,30
BR1 5SQ,Yes,51.43158,-0.000787,539073,172182,TQ390721,1/1/1980 12:00:00 AM,,50
BR1 5ST,No,51.427886,0.010172,539846,171792,TQ398717,6/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,64
BR1 5SX,No,51.429398,-0.009959,538442,171922,TQ384719,6/1/1996 12:00:00 AM,8/1/1997 12:00:00 AM,30
BR1 5UE,No,51.427886,0.010172,539846,171792,TQ398717,12/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,64
BR1 5UF,No,51.428378,0.009762,539816,171846,TQ398718,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,63
BR1 5UG,No,51.427886,0.010172,539846,171792,TQ398717,6/1/1997 12:00:00 AM,12/1/1997 12:00:00 AM,64
BR1 5ZJ,No,51.428378,0.009762,539816,171846,TQ398718,12/1/1999 12:00:00 AM,2/1/2001 12:00:00 AM,63
BR1 5ZP,No,51.428378,0.009762,539816,171846,TQ398718,6/1/1999 12:00:00 AM,11/1/2000 12:00:00 AM,63
BR1 5ZQ,No,51.428378,0.009762,539816,171846,TQ398718,10/1/2000 12:00:00 AM,11/1/2000 12:00:00 AM,63
BR1 5ZS,No,51.428378,0.009762,539816,171846,TQ398718,12/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,63
BR1 5ZT,No,51.428378,0.009762,539816,171846,TQ398718,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,63
BR1 5ZW,No,51.427895,0.010172,539846,171793,TQ398717,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,64
BR1 5ZX,No,51.427895,0.010172,539846,171793,TQ398717,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,64
BR1 5ZY,No,51.427895,0.010172,539846,171793,TQ398717,6/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,64
BR3 2HQ,No,51.415658,-0.006846,538700,170400,TQ387704,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,37
SE10 8AA,No,51.472256,-0.012487,538137,176683,TQ381766,1/1/1980 12:00:00 AM,5/1/2010 12:00:00 AM,24
SE10 8AB,No,51.472182,-0.011827,538183,176676,TQ381766,1/1/1980 12:00:00 AM,10/1/2006 12:00:00 AM,27
SE10 8AD,Yes,51.472269,-0.011132,538231,176687,TQ382766,1/1/1980 12:00:00 AM,,33
SE10 8AE,No,51.471494,-0.011612,538200,176600,TQ382766,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,25
