Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
UB5 6PB,Yes,51.534087,-0.40453,510760,182893,TQ107828,1/1/1980 12:00:00 AM,,33,65,23
UB5 6PD,Yes,51.534551,-0.406215,510642,182942,TQ106829,1/1/1980 12:00:00 AM,,31,43,14
UB5 6PE,Yes,51.534762,-0.40788,510526,182963,TQ105829,1/1/1980 12:00:00 AM,,30,92,27
UB5 6PF,Yes,51.535232,-0.406681,510608,183017,TQ106830,1/1/1980 12:00:00 AM,,32,54,16
UB5 6PG,Yes,51.535136,-0.405589,510684,183008,TQ106830,1/1/1980 12:00:00 AM,,33,89,40
UB5 6PH,Yes,51.536276,-0.405463,510690,183135,TQ106831,1/1/1980 12:00:00 AM,,35,31,9
UB5 6PJ,Yes,51.535874,-0.404958,510726,183091,TQ107830,1/1/1980 12:00:00 AM,,35,28,15
UB5 6PL,Yes,51.536253,-0.406401,510625,183131,TQ106831,1/1/1980 12:00:00 AM,,34,51,19
UB5 6PN,Yes,51.534792,-0.409407,510420,182964,TQ104829,1/1/1980 12:00:00 AM,,31,58,18
UB5 6PP,Yes,51.535571,-0.407866,510525,183053,TQ105830,1/1/1980 12:00:00 AM,,31,40,14
UB5 6PQ,Yes,51.536852,-0.405364,510695,183199,TQ106831,1/1/1980 12:00:00 AM,,36,7,4
UB5 6PR,Yes,51.535674,-0.406118,510646,183067,TQ106830,1/1/1980 12:00:00 AM,,33,30,12
UB5 6PS,Yes,51.536156,-0.407903,510521,183118,TQ105831,1/1/1980 12:00:00 AM,,32,62,20
UB5 6PT,Yes,51.535134,-0.410751,510326,183000,TQ103829,1/1/1980 12:00:00 AM,,31,100,30
UB5 6PU,Yes,51.536172,-0.409691,510397,183117,TQ103831,1/1/1980 12:00:00 AM,,32,110,34
UB5 6PW,Yes,51.535708,-0.408683,510468,183067,TQ104830,1/1/1980 12:00:00 AM,,31,51,16
UB5 6PX,Yes,51.536865,-0.407143,510572,183198,TQ105831,1/1/1980 12:00:00 AM,,34,104,38
UB5 6PY,Yes,51.535019,-0.406285,510636,182994,TQ106829,2/1/1984 12:00:00 AM,,32,20,18
UB5 6PZ,Yes,51.535311,-0.407768,510532,183024,TQ105830,7/1/1986 12:00:00 AM,,31,4,4
