Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
IG1 3SG,Yes,51.573558,0.050738,542212,188069,TQ422880,1/1/1980 12:00:00 AM,,17,72,17
IG1 3SH,Yes,51.574212,0.051373,542254,188143,TQ422881,1/1/1980 12:00:00 AM,,20,156,40
IG1 3SJ,Yes,51.57346,0.049131,542101,188055,TQ421880,1/1/1980 12:00:00 AM,,12,46,16
IG1 3SL,Yes,51.572511,0.04994,542160,187951,TQ421879,1/1/1980 12:00:00 AM,,12,93,29
IG1 3SN,Yes,51.573945,0.048157,542032,188107,TQ420881,1/1/1980 12:00:00 AM,,11,56,18
IG1 3SP,Yes,51.574697,0.047296,541970,188189,TQ419881,1/1/1980 12:00:00 AM,,11,106,36
IG1 3SQ,Yes,51.573694,0.049618,542134,188082,TQ421880,1/1/1980 12:00:00 AM,,14,29,23
IG1 3SR,No,51.574814,0.046291,541900,188200,TQ418882,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,10,,
IG1 3SS,Yes,51.574882,0.044404,541769,188204,TQ417882,1/1/1980 12:00:00 AM,,8,33,6
IG1 3ST,Yes,51.575138,0.04365,541716,188231,TQ417882,1/1/1980 12:00:00 AM,,9,67,26
IG1 3SU,Yes,51.575488,0.042151,541611,188267,TQ416882,1/1/1980 12:00:00 AM,,10,22,14
IG1 3SW,Yes,51.574457,0.049219,542104,188166,TQ421881,1/1/1980 12:00:00 AM,,15,63,14
IG1 3SX,Yes,51.574748,0.04232,541625,188185,TQ416881,1/1/1980 12:00:00 AM,,10,102,32
IG1 3SY,Yes,51.574059,0.04366,541720,188111,TQ417881,1/1/1980 12:00:00 AM,,7,127,36
IG1 3SZ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2000 12:00:00 AM,1/1/2009 12:00:00 AM,16,,
IG1 3TB,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2001 12:00:00 AM,6/1/2008 12:00:00 AM,16,,
IG1 3TD,No,51.55807,0.072373,543760,186389,TQ437863,7/1/1990 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3TF,No,51.574587,0.05927,542800,188200,TQ428882,4/1/1987 12:00:00 AM,12/1/1988 12:00:00 AM,23,,
IG1 3TG,Yes,51.559106,0.062595,543079,186485,TQ430864,1/1/1980 12:00:00 AM,,6,165,45
IG1 3TH,Yes,51.560721,0.06075,542946,186661,TQ429866,1/1/1980 12:00:00 AM,,7,88,25
IG1 3TJ,Yes,51.560949,0.059534,542861,186684,TQ428866,1/1/1980 12:00:00 AM,,6,64,21
IG1 3TL,Yes,51.561384,0.058817,542810,186731,TQ428867,1/1/1980 12:00:00 AM,,6,62,21
IG1 3TN,Yes,51.561972,0.058137,542761,186795,TQ427867,1/1/1980 12:00:00 AM,,6,81,23
IG1 3TP,Yes,51.563496,0.057383,542704,186963,TQ427869,1/1/1980 12:00:00 AM,,8,66,21
IG1 3TQ,Yes,51.560124,0.061935,543030,186597,TQ430865,1/1/1980 12:00:00 AM,,7,97,28
IG1 3TR,Yes,51.564572,0.055989,542604,187080,TQ426870,1/1/1980 12:00:00 AM,,8,170,49
IG1 3TS,Yes,51.566371,0.05444,542491,187277,TQ424872,1/1/1980 12:00:00 AM,,10,100,29
IG1 3TT,Yes,51.56929,0.052075,542318,187597,TQ423875,1/1/1980 12:00:00 AM,,12,254,69
IG1 3TU,Yes,51.570869,0.051266,542257,187771,TQ422877,1/1/1980 12:00:00 AM,,12,41,14
IG1 3TW,Yes,51.562711,0.057507,542715,186876,TQ427868,1/1/1980 12:00:00 AM,,6,91,23
IG1 3TX,Yes,51.571382,0.051217,542252,187828,TQ422878,1/1/1980 12:00:00 AM,,13,51,12
IG1 3TY,Yes,51.572165,0.049679,542143,187912,TQ421879,1/1/1980 12:00:00 AM,,10,85,24
IG1 3TZ,Yes,51.573309,0.048028,542025,188036,TQ420880,1/1/1980 12:00:00 AM,,8,19,4
IG1 3UA,Yes,51.573965,0.046989,541951,188107,TQ419881,1/1/1980 12:00:00 AM,,9,48,11
IG1 3UB,Yes,51.574362,0.04643,541911,188150,TQ419881,1/1/1980 12:00:00 AM,,9,9,0
IG1 3UD,No,51.573965,0.046989,541951,188107,TQ419881,12/1/1994 12:00:00 AM,8/1/1997 12:00:00 AM,8,,
IG1 3UE,No,51.573915,0.046251,541900,188100,TQ419881,1/1/1995 12:00:00 AM,7/1/1995 12:00:00 AM,7,,
IG1 3UF,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3UG,No,51.566927,0.059645,542850,187349,TQ428873,1/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,14,,
IG1 3UH,No,51.55807,0.072373,543760,186389,TQ437863,7/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3UJ,No,51.55807,0.072373,543760,186389,TQ437863,7/1/1995 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3UL,No,51.566927,0.059645,542850,187349,TQ428873,6/1/1996 12:00:00 AM,12/1/1999 12:00:00 AM,14,,
IG1 3UQ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,6/1/2014 12:00:00 AM,16,,
IG1 3WA,No,51.55807,0.072373,543760,186389,TQ437863,4/1/2008 12:00:00 AM,2/1/2009 12:00:00 AM,16,,
IG1 3WB,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3WD,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2012 12:00:00 AM,2/1/2014 12:00:00 AM,16,,
IG1 3WE,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,16,,
IG1 3WF,No,51.55807,0.072373,543760,186389,TQ437863,5/1/2002 12:00:00 AM,6/1/2004 12:00:00 AM,16,,
IG1 3WG,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2002 12:00:00 AM,3/1/2003 12:00:00 AM,16,,
IG1 3WH,No,51.55807,0.072373,543760,186389,TQ437863,7/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3WJ,No,51.55807,0.072373,543760,186389,TQ437863,8/1/2002 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 3WL,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3WN,No,51.55807,0.072373,543760,186389,TQ437863,11/1/2002 12:00:00 AM,5/1/2004 12:00:00 AM,16,,
IG1 3WP,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 3WQ,No,51.55807,0.072373,543760,186389,TQ437863,2/1/2003 12:00:00 AM,6/1/2004 12:00:00 AM,16,,
IG1 3WR,No,51.55807,0.072373,543760,186389,TQ437863,2/1/2003 12:00:00 AM,4/1/2006 12:00:00 AM,16,,
