Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
EC2A 2JT,No,51.521975,-0.084271,533007,182079,TQ330820,2/1/1990 12:00:00 AM,1/1/2006 12:00:00 AM,26,,
EC2A 2JX,No,51.5216,-0.084474,532994,182037,TQ329820,6/1/1999 12:00:00 AM,2/1/2015 12:00:00 AM,27,,
EC2A 2LE,No,51.521945,-0.08299,533096,182078,TQ330820,12/1/1998 12:00:00 AM,8/1/2001 12:00:00 AM,23,,
EC2A 2LJ,No,51.521397,-0.084122,533019,182015,TQ330820,12/1/1998 12:00:00 AM,3/1/2005 12:00:00 AM,27,,
EC2A 2LN,No,51.521329,-0.083304,533076,182009,TQ330820,12/1/1996 12:00:00 AM,6/1/2000 12:00:00 AM,25,,
EC2A 2LQ,No,51.521945,-0.08299,533096,182078,TQ330820,12/1/1998 12:00:00 AM,8/1/2003 12:00:00 AM,23,,
EC2A 2LX,No,51.522105,-0.081772,533180,182098,TQ331820,12/1/1998 12:00:00 AM,7/1/2005 12:00:00 AM,23,,
EC2A 2LY,No,51.520503,-0.084492,532996,181915,TQ329819,12/1/1999 12:00:00 AM,8/1/2003 12:00:00 AM,30,,
EC2A 2NA,No,51.520368,-0.08444,533000,181900,TQ329819,4/1/1987 12:00:00 AM,12/1/1990 12:00:00 AM,30,,
EC2A 2NB,No,51.520587,-0.082441,533138,181928,TQ331819,12/1/1998 12:00:00 AM,1/1/2016 12:00:00 AM,31,,
EC2A 2NE,No,51.520272,-0.083002,533100,181892,TQ331818,12/1/1998 12:00:00 AM,8/1/2016 12:00:00 AM,30,,
EC2A 2NH,No,51.520272,-0.083002,533100,181892,TQ331818,12/1/1998 12:00:00 AM,7/1/2007 12:00:00 AM,30,,
EC2A 2NJ,No,51.520272,-0.083002,533100,181892,TQ331818,12/1/1998 12:00:00 AM,11/1/2000 12:00:00 AM,30,,
EC2A 2NS,No,51.521219,-0.081521,533200,182000,TQ331819,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,28,,
EC2A 2PD,No,51.521219,-0.081521,533200,182000,TQ331819,12/1/1999 12:00:00 AM,10/1/2000 12:00:00 AM,28,,
EC2A 2PW,No,51.521219,-0.081521,533200,182000,TQ331819,12/1/1999 12:00:00 AM,8/1/2003 12:00:00 AM,28,,
EC2A 3AA,Yes,51.524737,-0.079989,533296,182394,TQ332823,1/1/1980 12:00:00 AM,,21,18,9
EC2A 3AB,No,51.524584,-0.079967,533298,182377,TQ332823,1/1/1980 12:00:00 AM,1/1/2001 12:00:00 AM,21,,
